;Neighborhood;Densidad_Poblacion;bar;bus;cafe;clothes_shop;dog_parks;gym_fitness;hospitals;luxury_shops;nightclub;parks;private_school;pub;public_transport;restaurants;school;supermarkets;Crimenes_Barrio;Avg_price;security
49;MID CITY NC;0.2931302791026575;0.030303030303030304;0.14775160599571735;0.015151515151515152;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.030303030303030304;0.030612244897959183;0.05714285714285715;0.18181818181818182;0.0998245423349844;0.30483775555678394;0.9001754576650156
50;MID CITY WEST CC;0.2824726010694059;0.24242424242424243;0.3554603854389722;0.5303030303030303;1.0;0.0;0.2222222222222222;0.4;0.5882352941176471;0.2;0.23809523809523808;0.0;0.0;0.0;0.5714285714285714;0.34285714285714286;0.7272727272727273;0.34476654814216734;0.5010492363602236;0.6552334518578327
51;MISSION HILLS NC;0.10406156998319165;0.030303030303030304;0.09635974304068523;0.030303030303030304;0.0;0.0;0.027777777777777776;0.2;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.06632653061224489;0.14285714285714285;0.09090909090909091;0.056891759700635064;0.12104023658772653;0.9431082402993649
52;NC VALLEY VILLAGE;0.25763765896927704;0.0;0.07922912205567452;0.030303030303030304;0.0;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.030303030303030304;0.02040816326530612;0.1714285714285714;0.18181818181818182;0.0644224647920128;0.30522894572869264;0.9355775352079871
53;NOHO WEST NC;0.1505102907562277;0.0;0.08565310492505354;0.015151515151515152;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.03571428571428571;0.11428571428571428;0.18181818181818182;0.05442293060882257;0.21978339446597597;0.9455770693911775
54;NORTH HILLS EAST NC;0.41586966608597925;0.0;0.08565310492505354;0.07575757575757576;0.02564102564102564;0.0;0.027777777777777776;0.0;0.058823529411764705;0.1;0.023809523809523808;1.0;0.0;0.0;0.1173469387755102;0.1714285714285714;0.4545454545454546;0.1060043786780119;0.13977033883296672;0.8939956213219881
55;NORTH HILLS WEST NC;0.10459361320957909;0.06060606060606061;0.09207708779443255;0.015151515151515152;0.01282051282051282;0.0;0.0;0.2;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.04081632653061224;0.14285714285714285;0.18181818181818182;0.03551076813191932;0.13977033883296672;0.9644892318680807
56;NORTH HOLLYWOOD NORTH EAST NC;0.22271816301749223;0.0;0.2226980728051392;0.0;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.11904761904761904;0.0;0.0;0.0;0.030612244897959183;0.2857142857142857;0.18181818181818182;0.15921618558141704;0.18375652008241858;0.840783814418583
57;NORTH WESTWOOD NC;0.5637052596883457;0.030303030303030304;0.1563169164882227;0.5909090909090909;0.07692307692307693;0.0;0.2777777777777778;1.0;0.23529411764705882;0.0;0.2857142857142857;0.0;0.2;0.0;0.29081632653061223;0.0;0.36363636363636365;0.04369361675698337;0.3596621770314429;0.9563063832430166
58;NORTHRIDGE EAST NC;0.10013114033005731;0.0;0.14561027837259102;0.06060606060606061;0.0;0.0;0.1388888888888889;0.0;0.0;0.0;0.14285714285714285;0.6666666666666666;0.0;0.0;0.08163265306122448;0.34285714285714286;0.0;0.05046348772572706;0.22890530869177064;0.9495365122742729
59;NORTHRIDGE SOUTH NC;0.13874788522425605;0.0;0.18201284796573877;0.15151515151515152;0.01282051282051282;0.0;0.1388888888888889;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.030303030303030304;0.10714285714285714;0.22857142857142854;0.4545454545454546;0.12488548670093008;0.22890530869177064;0.8751145132990699
60;NORTHRIDGE WEST NC;0.09805622705073777;0.030303030303030304;0.11349036402569594;0.12121212121212122;0.4615384615384615;0.0;0.1111111111111111;0.0;0.7058823529411764;0.0;0.07142857142857142;0.0;0.0;0.0;0.17346938775510204;0.11428571428571428;0.36363636363636365;0.06900299675480956;0.22890530869177064;0.9309970032451904
61;NORTHWEST SAN PEDRO NC;0.12638690700809643;0.0;0.0021413276231263384;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.11904761904761904;0.0;0.0;0.0;0.00510204081632653;0.34285714285714286;0.2727272727272727;0.04783938636398926;0.13627746857124992;0.9521606136360108
62;OLYMPIC PARK NC;0.3024319502344633;0.0;0.07922912205567452;0.07575757575757576;0.0;0.0;0.0;0.0;0.0;0.1;0.047619047619047616;0.0;0.0;0.0;0.07653061224489795;0.11428571428571428;0.18181818181818182;0.07901805816499231;0.23513357337880328;0.9209819418350077
63;P.I.C.O. NC;0.23354364789532497;0.030303030303030304;0.1284796573875803;0.06060606060606061;0.01282051282051282;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.04591836734693877;0.14285714285714285;0.09090909090909091;0.0826203748272596;0.21978339446597597;0.9173796251727404
